Year,Month,Day,Discharge (ft3/s)
1998,8,18,280
1998,8,19,333
1998,8,20,260
1998,8,21,224
1998,8,22,210
1998,8,23,203
1998,8,24,191
1998,8,25,182
1998,8,26,214
1998,8,27,237
1998,8,28,177
1998,8,29,161
1998,8,30,162
1998,8,31,154
1998,9,1,146
1998,9,2,143
1998,9,3,139
1998,9,4,140
1998,9,5,135
1998,9,6,132
1998,9,7,196
1998,9,8,207
1998,9,9,185
1998,9,10,202
1998,9,11,164
1998,9,12,144
1998,9,13,135
1998,9,14,128
1998,9,15,124
1998,9,16,157
1998,9,17,167
1998,9,18,144
1998,9,19,149
1998,9,20,198
1998,9,21,198
1998,9,22,156
1998,9,23,145
1998,9,24,137
1998,9,25,135
1998,9,26,133
1998,9,27,182
1998,9,28,364
1998,9,29,273
1998,9,30,230
1998,10,1,175
1998,10,2,155
1998,10,3,144
1998,10,4,141
1998,10,5,138
1998,10,6,135
1998,10,7,132
1998,10,8,221
1998,10,9,437
1998,10,10,455
1998,10,11,389
1998,10,12,418
1998,10,13,726
1998,10,14,716
1998,10,15,731
1998,10,16,319
1998,10,17,247
1998,10,18,215
1998,10,19,214
1998,10,20,209
1998,10,21,200
1998,10,22,693
1998,10,23,782
1998,10,24,761
1998,10,25,739
1998,10,26,731
1998,10,27,725
1998,10,28,715
1998,10,29,601
1998,10,30,530
1998,10,31,537
1998,11,1,531
1998,11,2,463
1998,11,3,180
1998,11,4,174
1998,11,5,431
1998,11,6,436
1998,11,7,443
1998,11,8,447
1998,11,9,444
1998,11,10,449
1998,11,11,445
1998,11,12,229
1998,11,13,203
1998,11,14,194
1998,11,15,185
1998,11,16,186
1998,11,17,192
1998,11,18,204
1998,11,19,197
1998,11,20,189
1998,11,21,201
1998,11,22,220
1998,11,23,221
1998,11,24,218
1998,11,25,202
1998,11,26,191
1998,11,27,190
1998,11,28,192
1998,11,29,188
1998,11,30,183
1998,12,1,209
1998,12,2,258
1998,12,3,228
1998,12,4,209
1998,12,5,204
1998,12,6,214
1998,12,7,210
1998,12,8,204
1998,12,9,194
1998,12,10,184
1998,12,11,176
1998,12,12,169
1998,12,13,162
1998,12,14,157
1998,12,15,151
1998,12,16,157
1998,12,17,165
1998,12,18,163
1998,12,19,162
1998,12,20,171
1998,12,21,187
1998,12,22,1190
1998,12,23,1160
1998,12,24,600
1998,12,25,440
1998,12,26,380
1998,12,27,360
1998,12,28,350
1998,12,29,300
1998,12,30,260
1998,12,31,280
1999,1,1,280
1999,1,2,300
1999,1,3,260
1999,1,4,240
1999,1,5,220
1999,1,6,200
1999,1,7,190
1999,1,8,180
1999,1,9,180
1999,1,10,200
1999,1,11,200
1999,1,12,190
1999,1,13,190
1999,1,14,190
1999,1,15,200
1999,1,16,210
1999,1,17,220
1999,1,18,240
1999,1,19,300
1999,1,20,350
1999,1,21,400
1999,1,22,400
1999,1,23,4000
1999,1,24,17000
1999,1,25,8270
1999,1,26,4210
1999,1,27,2600
1999,1,28,2300
1999,1,29,2630
1999,1,30,1850
1999,1,31,1200
1999,2,1,1100
1999,2,2,1410
1999,2,3,3120
1999,2,4,2770
1999,2,5,2280
1999,2,6,1720
1999,2,7,1490
1999,2,8,1310
1999,2,9,1180
1999,2,10,1610
1999,2,11,1530
1999,2,12,3170
1999,2,13,3330
1999,2,14,1800
1999,2,15,1500
1999,2,16,1550
1999,2,17,1740
1999,2,18,1960
1999,2,19,1560
1999,2,20,1200
1999,2,21,1040
1999,2,22,740
1999,2,23,640
1999,2,24,680
1999,2,25,640
1999,2,26,600
1999,2,27,560
1999,2,28,620
1999,3,1,795
1999,3,2,751
1999,3,3,780
1999,3,4,3000
1999,3,5,2240
1999,3,6,1800
1999,3,7,1200
1999,3,8,1100
1999,3,9,1050
1999,3,10,1000
1999,3,11,950
1999,3,12,900
1999,3,13,840
1999,3,14,820
1999,3,15,808
1999,3,16,777
1999,3,17,978
1999,3,18,5340
1999,3,19,4320
1999,3,20,2760
1999,3,21,2720
1999,3,22,2860
1999,3,23,2280
1999,3,24,2310
1999,3,25,2870
1999,3,26,2110
1999,3,27,1980
1999,3,28,2350
1999,3,29,2890
1999,3,30,3210
1999,3,31,3230
1999,4,1,3670
1999,4,2,3750
1999,4,3,3450
1999,4,4,4380
1999,4,5,3640
1999,4,6,2330
1999,4,7,2050
1999,4,8,1670
1999,4,9,2370
1999,4,10,4410
1999,4,11,2640
1999,4,12,3510
1999,4,13,2380
1999,4,14,1770
1999,4,15,1470
1999,4,16,1420
1999,4,17,2120
1999,4,18,1870
1999,4,19,1450
1999,4,20,1230
1999,4,21,1110
1999,4,22,1030
1999,4,23,1770
1999,4,24,3470
1999,4,25,1920
1999,4,26,1490
1999,4,27,1240
1999,4,28,1100
1999,4,29,970
1999,4,30,875
1999,5,1,782
1999,5,2,710
1999,5,3,658
1999,5,4,608
1999,5,5,575
1999,5,6,544
1999,5,7,526
1999,5,8,1200
1999,5,9,3310
1999,5,10,1900
1999,5,11,1170
1999,5,12,906
1999,5,13,770
1999,5,14,674
1999,5,15,570
1999,5,16,519
1999,5,17,480
1999,5,18,471
1999,5,19,450
1999,5,20,420
1999,5,21,364
1999,5,22,340
1999,5,23,322
1999,5,24,366
1999,5,25,570
1999,5,26,609
1999,5,27,509
1999,5,28,419
1999,5,29,336
1999,5,30,298
1999,5,31,274
1999,6,1,265
1999,6,2,287
1999,6,3,337
1999,6,4,329
1999,6,5,262
1999,6,6,239
1999,6,7,225
1999,6,8,222
1999,6,9,233
1999,6,10,190
1999,6,11,177
1999,6,12,166
1999,6,13,155
1999,6,14,155
1999,6,15,178
1999,6,16,166
1999,6,17,169
1999,6,18,167
1999,6,19,160
1999,6,20,150
1999,6,21,140
1999,6,22,135
1999,6,23,125
1999,6,24,120
1999,6,25,115
1999,6,26,110
1999,6,27,110
1999,6,28,210
1999,6,29,302
1999,6,30,296
1999,7,1,231
1999,7,2,405
1999,7,3,409
1999,7,4,313
1999,7,5,227
1999,7,6,180
1999,7,7,175
1999,7,8,1550
1999,7,9,150
1999,7,10,155
1999,7,11,320
1999,7,12,231
1999,7,13,167
1999,7,14,150
1999,7,15,130
1999,7,16,120
1999,7,17,120
1999,7,18,115
1999,7,19,115
1999,7,20,120
1999,7,21,115
1999,7,22,110
1999,7,23,115
1999,7,24,125
1999,7,25,110
1999,7,26,120
1999,7,27,175
1999,7,28,138
1999,7,29,110
1999,7,30,100
1999,7,31,100
1999,8,1,110
1999,8,2,105
1999,8,3,90
1999,8,4,85
1999,8,5,90
1999,8,6,90
1999,8,7,85
1999,8,8,85
1999,8,9,80
1999,8,10,80
1999,8,11,75
1999,8,12,75
1999,8,13,75
1999,8,14,70
1999,8,15,70
1999,8,16,65
1999,8,17,60
1999,8,18,55
1999,8,19,55
1999,8,20,620
1999,8,21,993
1999,8,22,405
1999,8,23,245
1999,8,24,181
1999,8,25,146
1999,8,26,749
1999,8,27,699
1999,8,28,381
1999,8,29,282
1999,8,30,189
1999,8,31,155
1999,9,1,130
1999,9,2,115
1999,9,3,100
1999,9,4,90
1999,9,5,85
1999,9,6,80
1999,9,7,120
1999,9,8,221
1999,9,9,271
1999,9,10,179
1999,9,11,147
1999,9,12,130
1999,9,13,110
1999,9,14,100
1999,9,15,100
1999,9,16,120
1999,9,17,403
1999,9,18,458
1999,9,19,299
1999,9,20,225
1999,9,21,216
1999,9,22,213
1999,9,23,197
1999,9,24,173
1999,9,25,153
1999,9,26,141
1999,9,27,130
1999,9,28,120
1999,9,29,110
1999,9,30,722
1999,10,1,820
1999,10,2,461
1999,10,3,317
1999,10,4,313
1999,10,5,421
1999,10,6,347
1999,10,7,285
1999,10,8,244
1999,10,9,225
1999,10,10,214
1999,10,11,204
1999,10,12,194
1999,10,13,182
1999,10,14,721
1999,10,15,996
1999,10,16,574
1999,10,17,426
1999,10,18,535
1999,10,19,744
1999,10,20,670
1999,10,21,573
1999,10,22,542
1999,10,23,513
1999,10,24,557
1999,10,25,566
1999,10,26,596
1999,10,27,714
1999,10,28,713
1999,10,29,746
1999,10,30,716
1999,10,31,654
1999,11,1,653
1999,11,2,682
1999,11,3,882
1999,11,4,924
1999,11,5,796
1999,11,6,736
1999,11,7,550
1999,11,8,456
1999,11,9,401
1999,11,10,360
1999,11,11,454
1999,11,12,504
1999,11,13,437
1999,11,14,395
1999,11,15,363
1999,11,16,338
1999,11,17,319
1999,11,18,295
1999,11,19,281
1999,11,20,291
1999,11,21,274
1999,11,22,266
1999,11,23,258
1999,11,24,256
1999,11,25,265
1999,11,26,1350
1999,11,27,5220
1999,11,28,2300
1999,11,29,1430
1999,11,30,1190
1999,12,1,1060
1999,12,2,922
1999,12,3,880
1999,12,4,1040
1999,12,5,1240
1999,12,6,1160
1999,12,7,1140
1999,12,8,956
1999,12,9,849
1999,12,10,822
1999,12,11,1060
1999,12,12,955
1999,12,13,871
1999,12,14,1260
1999,12,15,5390
1999,12,16,4100
1999,12,17,2510
1999,12,18,1730
1999,12,19,1270
1999,12,20,1250
1999,12,21,1660
1999,12,22,1220
1999,12,23,928
1999,12,24,710
1999,12,25,650
1999,12,26,700
1999,12,27,650
1999,12,28,560
1999,12,29,600
1999,12,30,580
1999,12,31,560
2000,1,1,560
2000,1,2,640
2000,1,3,2600
2000,1,4,6100
2000,1,5,4890
2000,1,6,2750
2000,1,7,2010
2000,1,8,1470
2000,1,9,1270
2000,1,10,1250
2000,1,11,2050
2000,1,12,2000
2000,1,13,1500
2000,1,14,1140
2000,1,15,950
2000,1,16,840
2000,1,17,700
2000,1,18,650
2000,1,19,700
2000,1,20,660
2000,1,21,620
2000,1,22,580
2000,1,23,560
2000,1,24,600
2000,1,25,580
2000,1,26,540
2000,1,27,520
2000,1,28,500
2000,1,29,480
2000,1,30,460
2000,1,31,440
2000,2,1,420
2000,2,2,400
2000,2,3,400
2000,2,4,380
2000,2,5,360
2000,2,6,360
2000,2,7,350
2000,2,8,340
2000,2,9,340
2000,2,10,360
2000,2,11,400
2000,2,12,700
2000,2,13,600
2000,2,14,650
2000,2,15,800
2000,2,16,720
2000,2,17,660
2000,2,18,620
2000,2,19,620
2000,2,20,600
2000,2,21,600
2000,2,22,620
2000,2,23,1100
2000,2,24,4400
2000,2,25,11500
2000,2,26,9650
2000,2,27,7810
2000,2,28,8190
2000,2,29,4300
2000,3,1,3130
2000,3,2,3030
2000,3,3,2430
2000,3,4,2080
2000,3,5,1950
2000,3,6,1690
2000,3,7,1540
2000,3,8,1610
2000,3,9,1420
2000,3,10,1320
2000,3,11,1230
2000,3,12,1330
2000,3,13,1330
2000,3,14,1330
2000,3,15,1690
2000,3,16,1710
2000,3,17,2240
2000,3,18,1700
2000,3,19,1810
2000,3,20,2050
2000,3,21,1750
2000,3,22,1950
2000,3,23,1670
2000,3,24,1440
2000,3,25,1310
2000,3,26,1240
2000,3,27,1120
2000,3,28,1060
2000,3,29,1060
2000,3,30,1140
2000,3,31,1070
2000,4,1,934
2000,4,2,863
2000,4,3,1080
2000,4,4,5970
2000,4,5,4940
2000,4,6,3070
2000,4,7,2310
2000,4,8,5110
